campus,sm,tt
AUSTIN H S,0.163,0.216218349
MARSHALL EL,0.161,0.410644368
CODWELL EL,0.161,0.260263857
CHAVEZ H S,0.159,0.19321859
MADING EL,0.158,0.245035477
WALTRIP H S,0.158,0.224196094
ROBERTS EL,0.155,0.213987466
NEFF ECC,0.154,0.279128062
CUNNINGHAM EL,0.154,0.220253612
WEST BRIAR MIDDLE,0.153,0.26748547
DURHAM EL,0.152,0.259655781
GRADY MIDDLE,0.151,0.187108676
BRIARGROVE EL,0.15,0.256062114
GREGG EL,0.15,0.208125257
ATHERTON EL,0.149,0.136006166
SCARBOROUGH EL,0.148,0.215914317
SHEARN EL,0.146,0.334619812
ORTIZ MIDDLE,0.146,0.289419623
BURBANK EL,0.143,0.225182138
REAGAN K-8 EDUCATIONAL CTR,0.142,0.268649992
BLACK MIDDLE,0.141,0.318195635
KENNEDY EL,0.141,0.210196518
ELIOT EL,0.139,0.249677523
DEANDA EL,0.137,0.288163318
DAVILA EL,0.135,0.316129894
PILGRIM ACADEMY,0.135,0.156166436
HARTMAN MIDDLE,0.133,0.277071026
WESTSIDE H S,0.133,0.19453543
PARK PLACE EL,0.133,0.121065559
SOUTH EARLY COLLEGE H S,0.131,0.26356676
COOP EL,0.131,0.235222144
JANOWSKI EL,0.13,0.143270377
BONNER EL,0.125,0.192054425
DE ZAVALA EL,0.125,0.178316339
SOUTHMAYD EL,0.125,0.150112793
WHITTIER EL,0.124,0.224724263
SCHOOL AT ST GEORGE PLACE,0.124,0.215343191
LOVE EL,0.121,0.148713037
BARRICK EL,0.119,0.160668651
TWAIN EL,0.119,0.088789503
BELLAIRE H S,0.118,0.142609875
MACGREGOR EL,0.117,0.187512684
SEGUIN EL,0.115,0.230536634
BURBANK MIDDLE,0.115,0.186574113
SINCLAIR EL,0.115,0.153594771
ALMEDA EL,0.114,0.218785033
CARRILLO EL,0.114,0.100339442
GALLEGOS EL,0.11,0.366939622
HARRIS J R EL,0.109,0.237677899
PATTERSON EL,0.109,0.201057801
FIELD EL,0.109,0.199081988
BUSH EL,0.109,0.122987833
PORT HOUSTON EL,0.106,0.266815149
BELL EL,0.105,0.147913357
CAGE EL,0.103,0.112630711
BERRY EL,0.099,0.270592934
LAMAR H S,0.098,0.217611731
PERSHING MIDDLE,0.098,0.188724155
CONDIT EL,0.098,0.117612385
GARDEN VILLAS EL,0.097,0.249428648
HEROD EL,0.095,0.210795981
CRESPO EL,0.095,0.154611982
LOVETT EL,0.094,0.176852285
WHITE E EL,0.094,0.174882159
HOGG MIDDLE,0.093,0.332300931
LANTRIP EL,0.093,0.18951487
RUCKER EL,0.091,0.15594136
BROWNING EL,0.089,0.135677032
WINDSOR VILLAGE EL,0.089,0.117754871
STEVENSON MIDDLE,0.088,0.216044945
HENDERSON J EL,0.086,0.125295537
PUGH EL,0.082,0.347518094
CORNELIUS EL,0.082,0.190708078
JONES FUTURES ACADEMY,0.081,0.501262197
ARABIC IMMERSION MAGNET SCHOOL,0.08,0.182088745
KETELSEN EL,0.079,0.130682643
CROCKETT EL,0.077,0.201132056
RED EL,0.077,0.171932171
HEIGHTS H S,0.075,0.144341957
YOUNG WOMEN'S COLLEGE PREP ACADEM,0.074,0.294835674
POE EL,0.072,0.183289635
GARDEN OAKS MONTESSORI,0.07,0.201231944
JOHNSTON MIDDLE,0.07,0.185229736
SCROGGINS EL,0.07,0.158944852
HELMS EL,0.065,0.269904552
WILSON MONTESSORI,0.062,0.157330668
HINES-CALDWELL,0.061,0.158858948
DE CHAUMES EL,0.059,0.203842534
MICKEY LELAND COLLEGE PREP ACAD FO,0.058,0.312071738
LAW ENFCMT-CRIM JUST H S,0.058,0.1944641
MORENO EL,0.057,0.210969416
LANIER MIDDLE,0.055,0.171909982
THE RUSK SCHOOL,0.054,0.398738247
HAMILTON MIDDLE,0.053,0.235817842
HERRERA EL,0.053,0.197626253
ROOSEVELT EL,0.052,0.257922919
HOUSTON ACADEMY FOR INTERNATIONAL,0.05,0.287923512
KOLTER EL,0.05,0.173122282
DEBAKEY H S FOR HEALTH PROF,0.05,0.103952815
BAYLOR COLLEGE OF MEDICINE ACADEMY,0.049,0.340213291
PARKER EL,0.047,0.115069457
WEST UNIVERSITY EL,0.045,0.111117263
LYONS EL,0.04,0.095290034
BRIARMEADOW CHARTER,0.039,0.276234866
T H ROGERS SCHOOL,0.038,0.172459598
RIVER OAKS EL,0.038,0.170140991
HCC LIFE SKILLS PROGRAM,0.038,0.12037037
HORN EL,0.037,0.128342294
SHARPSTOWN INTERNATIONAL SCHOOL,0.036,0.176326867
OAK FOREST EL,0.036,0.123179347
ENERGY INSTITUTE H S,0.034,0.331453029
CARNEGIE VANGUARD H S,0.033,0.112828835
HARVARD EL,0.032,0.187797929
TRAVIS EL,0.031,0.206803869
NORTH HOUSTON EARLY COLLEGE H S,0.03,0.109342801
WHARTON K-8 DUAL LANGUAGE ACADEMY,0.028,0.132846742
RICE SCH /LA ESCUELA RICE,0.02,0.158466871
EAST EARLY COLLEGE H S,0.02,0.153522274
MANDARIN IMMERSION MAGNET SCHOOL,0.019,0.216506609
EASTWOOD ACADEMY,0.019,0.194686717
PERFOR & VIS ARTS H S,0.016,0.131842414
PIN OAK MIDDLE,0.012,0.156845952
CHALLENGE EARLY COLLEGE H S,0.011,0.189187194
PROJECT CHRYSALIS MIDDLE,0,0.274534416
,,
,,
,,
,,
,,
,,
